Geo,ACB Down,ACB Up,CCA Down,CCA Mid,CCA Up,AFC Main,AFC North,AFC South
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,0,1
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,0,1
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0
